,0
0,adana
1,adıyaman
2,afyonkarahisar
3,ağrı
4,aksaray
5,amasya
6,ankara
7,antalya
8,artvin
9,aydın
10,balıkesir
11,bartın
12,batman
13,bayburt
14,bilecik
15,bingöl
16,bitlis
17,bolu
18,burdur
19,bursa
20,çanakkale
21,çankırı
22,çorum
23,denizli
24,diyarbakır
25,düzce
26,edirne
27,erzincan
28,gaziantep
29,giresun
30,gümüşhane
31,ığdır
32,ısparta
33,kahramanmaraş
34,karabük
35,karaman
36,kars
37,kastamonu
38,kayseri
39,kırıkkale
40,kırklareli
41,kırşehir
42,kilis
43,kocaeli
44,kütahya
45,malatya
46,manisa
47,mardin
48,mersin
49,muğla
50,muş
51,newşehir
52,niğde
53,ordu
54,osmaniye
55,rize
56,sakarya
57,samsun
58,siirt
59,sivas
60,şanlıurfa
61,şırnak
62,tekirdağ
63,tokat
64,tunceli
65,uşak
66,van
67,yalova
68,yozgat
69,zonguldak
